"component__cGrey","component__rubyTag","component__icon href","component__blueLink","component__toolTip href","component__main_text","component__light_text 2","component__main_text 2","component__sub_wrap","component__main_text 3","component__main_text 4","labels_semiBold","CompletionChart__percentage","hyperlinks_small","component__light_text 6","component__light_text 8","component__light_text 10","component__leadInfo href","component__percentile","component__toolTipText 5","videoStatus__wrapper src","videoStatus__heading","videoStatus__subHeading","videoStatus__ctaStyleActive","component__selfVerifier","component__extra_link 3","component__extra_link href","videoStatus__ctaStyleActive 2","hyperlinks_small 2"
"3 BHK Independent/Builder Floor for Rent in DLF Phase 1 Ultra Luxury Builder Floors, DLF Phase 1,Gurgaon","INFINITY","https://www.99acres.com/L74166287","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=L74166287","Rs1.35 Lac","| Super built-up  Area:","1350 sq.ft.","L74166287:","12 Mar 2024","11 May 2024","Property score is medium","85%","Add USPs","0","0","690 Credits","https://www.99acres.com/lmsSearch?propId=L74166287","79.89 %","On 13-03-2024, this listing performed better than 79.89 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","Assign & share for SV","","","",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/O74123531","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=O74123531","Rs11 Crore","| Plot  Area:","360 sq.yards","O74123531:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","3","345 Credits","https://www.99acres.com/lmsSearch?propId=O74123531","53.58 %","On 13-03-2024, this listing performed better than 53.58 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video couldn't be updated","Your eligible photos are <4","Add Images","","","","",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/I74123139","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=I74123139","Rs10.5 Crore","| Plot  Area:","360 sq.yards","I74123139:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","5","345 Credits","https://www.99acres.com/lmsSearch?propId=I74123139","52.15 %","On 13-03-2024, this listing performed better than 52.15 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Independent/Builder Floor for Rent in Independent Floors at DLF City Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/I74123093","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=I74123093","Rs1.5 Lac","| Super built-up  Area:","3240 sq.ft.","I74123093:","09 Mar 2024","08 May 2024","Property score is good","100%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=I74123093","53.56 %","On 13-03-2024, this listing performed better than 53.56 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Independent/Builder Floor for Rent in Luxury Builder Floors In Dlf Phase 2, DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/K74122789","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=K74122789","Rs1.4 Lac","| Super built-up  Area:","2700 sq.ft.","K74122789:","09 Mar 2024","08 May 2024","Property score is good","100%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=K74122789","55.56 %","On 13-03-2024, this listing performed better than 55.56 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","","","Edit Video",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/E74122739","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=E74122739","Rs10.5 Crore","| Plot  Area:","360 sq.yards","E74122739:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=E74122739","51.43 %","On 13-03-2024, this listing performed better than 51.43 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","","","Edit Video",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/M74122283","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=M74122283","Rs8 Crore","| Plot  Area:","3270 sq.ft.","M74122283:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","7","345 Credits","https://www.99acres.com/lmsSearch?propId=M74122283","63.44 %","On 13-03-2024, this listing performed better than 63.44 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/B74122157","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=B74122157","Rs7.5 Crore","| Plot  Area:","270 sq.yards","B74122157:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=B74122157","61.65 %","On 13-03-2024, this listing performed better than 61.65 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video couldn't be updated","Your eligible photos are <4","Add Images","","","","",""
"Land/Plot for Sale in Sector 28 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/D74121743","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=D74121743","Rs7.87 Crore","| Plot  Area:","270 sq.yards","D74121743:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","8","345 Credits","https://www.99acres.com/lmsSearch?propId=D74121743","54.46 %","On 13-03-2024, this listing performed better than 54.46 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Independent/Builder Floor for Rent in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/W74119775","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=W74119775","Rs1.7 Lac","| Super built-up  Area:","4518 sq.ft.","W74119775:","09 Mar 2024","08 May 2024","Property score is medium","79%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=W74119775","57.36 %","On 13-03-2024, this listing performed better than 57.36 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","",""
"4 BHK Independent/Builder Floor for Rent in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/N74119599","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=N74119599","Rs1.1 Lac","| Super built-up  Area:","2700 sq.ft.","N74119599:","09 Mar 2024","08 May 2024","Property score is medium","79%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=N74119599","47.15 %","On 13-03-2024, this listing performed better than 47.15 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","",""
"4 BHK Independent/Builder Floor for Rent in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/K74117629","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=K74117629","Rs1.25 Lac","| Super built-up  Area:","2700 sq.ft.","K74117629:","09 Mar 2024","08 May 2024","Property score is medium","79%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=K74117629","47.0 %","On 13-03-2024, this listing performed better than 47.0 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","",""
"4 BHK Independent/Builder Floor for Rent in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/A74117531","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=A74117531","Rs1.2 Lac","| Super built-up  Area:","2700 sq.ft.","A74117531:","09 Mar 2024","08 May 2024","Property score is medium","79%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=A74117531","53.6 %","On 13-03-2024, this listing performed better than 53.6 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","","Get Verified"
"4 BHK Independent/Builder Floor for Rent in Luxury Builder Floors In Dlf Phase 2, DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/C74117291","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=C74117291","Rs2 Lac","| Super built-up  Area:","4518 sq.ft.","C74117291:","09 Mar 2024","08 May 2024","Property score is medium","90%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=C74117291","58.56 %","On 13-03-2024, this listing performed better than 58.56 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","",""
"4 BHK Independent/Builder Floor for Rent in DLF Phase 1,Gurgaon","INFINITY","https://www.99acres.com/L74114705","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=L74114705","Rs1.7 Lac","| Super built-up  Area:","4500 sq.ft.","L74114705:","09 Mar 2024","08 May 2024","Property score is medium","79%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=L74114705","51.84 %","On 13-03-2024, this listing performed better than 51.84 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","","Get Verified"
"4 BHK Independent House/Villa for Rent in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/V74105519","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=V74105519","Rs1.25 Lac","| Plot  Area:","250 sq.yards","V74105519:","08 Mar 2024","07 May 2024","Property score is medium","79%","Add USPs","0","2","345 Credits","https://www.99acres.com/lmsSearch?propId=V74105519","81.23 %","On 13-03-2024, this listing performed better than 81.23 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","","Get Verified"
"4 BHK Independent/Builder Floor for Rent in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/J74104715","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=J74104715","Rs1.5 Lac","| Super built-up  Area:","3618 sq.ft.","J74104715:","08 Mar 2024","07 May 2024","Property score is medium","79%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=J74104715","51.95 %","On 13-03-2024, this listing performed better than 51.95 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","",""
"3 BHK Independent House/Villa for Rent in Block B Sector 26A Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/T74104393","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=T74104393","Rs90,000","| Plot  Area:","269 sq.ft.","T74104393:","08 Mar 2024","07 May 2024","Property score is medium","76%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=T74104393","100.0 %","On 13-03-2024, this listing performed better than 100.0 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","","Get Verified"
"3 BHK Flat/Apartment for Sale in Trehan Builder Floor, Sector 71 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/T74098941","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=T74098941","Rs2 Crore","| Super built-up  Area:","1650 sq.ft.","T74098941:","08 Mar 2024","07 May 2024","Property score is medium","80%","Add USPs","0","4","345 Credits","https://www.99acres.com/lmsSearch?propId=T74098941","36.82 %","On 13-03-2024, this listing performed better than 36.82 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"3 BHK Flat/Apartment for Sale in Pareena Coban Residences, Sector 99A Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/Y74097493","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Y74097493","Rs2.49 Crore","| Super built-up  Area:","1997 sq.ft.","Y74097493:","08 Mar 2024","07 May 2024","Property score is medium","90%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=Y74097493","48.1 %","On 13-03-2024, this listing performed better than 48.1 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","","","","",""
"2 BHK Flat/Apartment for Sale in Pareena Coban Residences, Sector 99A Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/P74097143","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=P74097143","Rs1.93 Crore","| Built-up  Area:","1550 sq.ft.","P74097143:","08 Mar 2024","07 May 2024","Property score is medium","85%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=P74097143","59.81 %","On 13-03-2024, this listing performed better than 59.81 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","","","","",""
"4 BHK Independent/Builder Floor for Rent in DLF Phase 1, Gurgaon, Haryana, Block-A, DLF City Phase 1,Gurgaon","INFINITY","https://www.99acres.com/E73936479","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=E73936479","Rs1.35 Lac","| Built-up  Area:","2650 sq.ft.","E73936479:","28 Feb 2024","28 Apr 2024","Property score is good","100%","Add USPs","0","4","690 Credits","https://www.99acres.com/lmsSearch?propId=E73936479","44.12 %","On 13-03-2024, this listing performed better than 44.12 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","","","Edit Video",""
"4 BHK Flat/Apartment for Rent in Krrish Provence Estate, Gwal Pahari,Gurgaon","INFINITY","https://www.99acres.com/F73906061","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=F73906061","Rs1.5 Lac","| Super built-up  Area:","5800 sq.ft.","F73906061:","26 Feb 2024","26 Apr 2024","Property score is good","95%","Add USPs","0","0","690 Credits","https://www.99acres.com/lmsSearch?propId=F73906061","72.04 %","On 13-03-2024, this listing performed better than 72.04 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Independent/Builder Floor for Sale in Luxury DLF City Floors, DLF Phase 1,Gurgaon","INFINITY","https://www.99acres.com/X73886987","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=X73886987","Rs4.6 Crore","| Super built-up  Area:","3300 sq.ft.","X73886987:","26 Feb 2024","25 Apr 2024","Property score is good","100%","Add USPs","0","15","690 Credits","https://www.99acres.com/lmsSearch?propId=X73886987","75.36 %","On 13-03-2024, this listing performed better than 75.36 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 2 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"4 BHK Independent/Builder Floor for Sale in ULTRA LUXURY BUILDER FLOOR , Block-A, DLF City Phase 1,Gurgaon","INFINITY","https://www.99acres.com/M73869899","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=M73869899","Rs6.5 Crore","| Super built-up  Area:","4500 sq.ft.","M73869899:","24 Feb 2024","24 Apr 2024","Property score is medium","90%","Add USPs","0","2","690 Credits","https://www.99acres.com/lmsSearch?propId=M73869899","20.83 %","On 13-03-2024, this listing performed better than 20.83 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","","Get Verified"
"4 BHK Independent/Builder Floor for Sale in Ultra Luxury Builder Floor, DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/L73862551","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=L73862551","Rs3.75 Crore","| Super built-up  Area:","2700 sq.ft.","L73862551:","23 Feb 2024","23 Apr 2024","Property score is good","100%","Add USPs","0","4","690 Credits","https://www.99acres.com/lmsSearch?propId=L73862551","56.4 %","On 13-03-2024, this listing performed better than 56.4 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","","","Edit Video","Get Verified"
"Shops for Lease in Golf Avenue 42, Sector 42 Gurgaon,Gurgaon","","https://www.99acres.com/M73413961","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=M73413961","Rs20.84 Lac","| Built-up  Area:","2605 sq.ft.","M73413961:","22 Feb 2024","29 Mar 2024","Property score is good","100%","Add photos","3","9","193 Credits","https://www.99acres.com/lmsSearch?propId=M73413961","70.0 %","On 13-03-2024, this listing performed better than 70.0 % of the listings in its locality.","","","","","","","","",""
"Shops for Lease in Golf Avenue 42, Sector 42 Gurgaon,Gurgaon","","https://www.99acres.com/I73414167","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=I73414167","Rs4.07 Lac","| Built-up  Area:","1357 sq.ft.","I73414167:","22 Feb 2024","29 Mar 2024","Property score is good","100%","Add photos","3","14","193 Credits","https://www.99acres.com/lmsSearch?propId=I73414167","55.0 %","On 13-03-2024, this listing performed better than 55.0 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in M3M Urbana, Sector 67 Gurgaon,Gurgaon","","https://www.99acres.com/K73421543","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=K73421543","Rs3.56 Lac","| Built-up  Area:","3954 sq.ft.","K73421543:","21 Feb 2024","29 Mar 2024","Property score is good","100%","Add photos","1","9","193 Credits","https://www.99acres.com/lmsSearch?propId=K73421543","71.77 %","On 13-03-2024, this listing performed better than 71.77 % of the listings in its locality.","","","","","","View 2 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Sale in Elan Miracle, Sector 84 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/A73628929","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=A73628929","Rs3 Crore","| Built-up  Area:","974 sq.ft.","A73628929:","19 Feb 2024","10 Apr 2024","Property score is good","100%","Add USPs","0","11","345 Credits","https://www.99acres.com/lmsSearch?propId=A73628929","39.5 %","On 13-03-2024, this listing performed better than 39.5 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","","","","",""
"Shops for Sale in Elan Miracle, Sector 84 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/V73628471","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=V73628471","Rs2.61 Crore","| Built-up  Area:","1190 sq.ft.","V73628471:","19 Feb 2024","10 Apr 2024","Property score is good","100%","Add USPs","0","9","345 Credits","https://www.99acres.com/lmsSearch?propId=V73628471","35.0 %","On 13-03-2024, this listing performed better than 35.0 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","","","","",""
"3 BHK Independent/Builder Floor for Sale in Ultra Luxurious Builder Floor, DLF Phase 1,Gurgaon","INFINITY","https://www.99acres.com/D70613592","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=D70613592","Rs2.35 Crore","| Super built-up  Area:","1800 sq.ft.","D70613592:","19 Feb 2024","23 Apr 2024","Property score is good","95%","Add USPs","31","64","1117 Credits","https://www.99acres.com/lmsSearch?propId=D70613592","87.28 %","On 13-03-2024, this listing performed better than 87.28 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 11 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"3 BHK Flat/Apartment for Sale in Pareena Coban Residences, Sector 99A Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/F73755619","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=F73755619","Rs1.65 Crore","| Super built-up  Area:","1997 sq.ft.","F73755619:","17 Feb 2024","17 Apr 2024","Property score is good","95%","Add USPs","0","17","1035 Credits","https://www.99acres.com/lmsSearch?propId=F73755619","75.95 %","On 13-03-2024, this listing performed better than 75.95 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","View 11 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Flat/Apartment for Rent in Krrish Provence Estate, Gwal Pahari,Gurgaon","INFINITY","https://www.99acres.com/S73738277","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=S73738277","Rs1.5 Lac","| Super built-up  Area:","5800 sq.ft.","S73738277:","16 Feb 2024","16 Apr 2024","Property score is good","95%","Add USPs","0","8","690 Credits","https://www.99acres.com/lmsSearch?propId=S73738277","51.61 %","On 13-03-2024, this listing performed better than 51.61 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"3 BHK Independent House/Villa for Sale in DLF City Phase 1, Sector 26 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/H73734333","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=H73734333","Rs3.5 Crore","| Plot  Area:","109 sq.yards","H73734333:","16 Feb 2024","16 Apr 2024","Property score is medium","85%","Add USPs","0","5","1035 Credits","https://www.99acres.com/lmsSearch?propId=H73734333","69.1 %","On 13-03-2024, this listing performed better than 69.1 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","Assign & share for SV","","","","Get Verified"
"3 BHK Independent House/Villa for Sale in DLF City Phase 1, Block E DLF City Phase 1,Gurgaon","INFINITY","https://www.99acres.com/T73734111","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=T73734111","Rs4.4 Crore","| Plot  Area:","150 sq.yards","T73734111:","16 Feb 2024","16 Apr 2024","Property score is medium","90%","Add USPs","0","39","1380 Credits","https://www.99acres.com/lmsSearch?propId=T73734111","95.0 %","On 13-03-2024, this listing performed better than 95.0 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video couldn't be updated","Your eligible photos are <4","Add Images","Assign & share for SV","View 4 Responses","https://www.99acres.com/my99acres/all_responses/","","Get Verified"
"Shops for Sale in Elan Miracle, Sector 84 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/A73628619","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=A73628619","Rs1.9 Crore","| Built-up  Area:","550 sq.ft.","A73628619:","16 Feb 2024","10 Apr 2024","Property score is good","96%","Add USPs","0","5","345 Credits","https://www.99acres.com/lmsSearch?propId=A73628619","34.5 %","On 13-03-2024, this listing performed better than 34.5 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","","","","",""
"Shops for Sale in Elan Miracle, Sector 84 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/L73628307","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=L73628307","Rs78.32 Lac","| Built-up  Area:","356 sq.ft.","L73628307:","14 Feb 2024","10 Apr 2024","Property score is good","100%","Add USPs","0","9","345 Credits","https://www.99acres.com/lmsSearch?propId=L73628307","34.0 %","On 13-03-2024, this listing performed better than 34.0 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video couldn't be updated","Your eligible photos are <4","Add Images","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in AIPL Joy Street, Sector 66 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/I73630749","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=I73630749","Rs44,000","| Built-up  Area:","440 sq.ft.","I73630749:","13 Feb 2024","10 Apr 2024","Property score is good","100%","Add USPs","0","31","345 Credits","https://www.99acres.com/lmsSearch?propId=I73630749","93.8 %","On 13-03-2024, this listing performed better than 93.8 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video couldn't be updated","Your eligible photos are <4","Add Images","","View 7 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Land/Plot for Sale in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/G73685755","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=G73685755","Rs4.5 Crore","| Plot  Area:","150 sq.yards","G73685755:","13 Feb 2024","13 Apr 2024","Property score is medium","85%","Add USPs","0","11","690 Credits","https://www.99acres.com/lmsSearch?propId=G73685755","85.49 %","On 13-03-2024, this listing performed better than 85.49 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","","","","",""
"Land/Plot for Sale in B Block Sushant Lok Phase 1,Gurgaon","INFINITY","https://www.99acres.com/T73685653","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=T73685653","Rs7.6 Crore","| Plot  Area:","300 sq.yards","T73685653:","13 Feb 2024","13 Apr 2024","Property score is medium","85%","Add USPs","0","5","690 Credits","https://www.99acres.com/lmsSearch?propId=T73685653","83.08 %","On 13-03-2024, this listing performed better than 83.08 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Land/Plot for Sale in B Block Sushant Lok Phase 1,Gurgaon","INFINITY","https://www.99acres.com/B73685201","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=B73685201","Rs8.1 Crore","| Plot  Area:","300 sq.yards","B73685201:","13 Feb 2024","13 Apr 2024","Property score is medium","85%","Add USPs","0","4","345 Credits","https://www.99acres.com/lmsSearch?propId=B73685201","73.85 %","On 13-03-2024, this listing performed better than 73.85 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","","","","",""
