"component__cGrey","component__rubyTag","component__icon href","component__blueLink","component__toolTip href","component__main_text","component__light_text 2","component__main_text 2","component__sub_wrap","component__main_text 3","component__main_text 4","labels_semiBold","CompletionChart__percentage","hyperlinks_small","component__light_text 6","component__light_text 8","component__light_text 10","component__leadInfo href","component__percentile","component__toolTipText 5","videoStatus__wrapper src","videoStatus__heading","videoStatus__subHeading","videoStatus__ctaStyleActive","component__selfVerifier","component__extra_link 3","component__extra_link href","videoStatus__ctaStyleActive 2","hyperlinks_small 2"
"4 BHK Independent House/Villa for Sale in C Block, DLF Phase 1,Gurgaon","INFINITY","https://www.99acres.com/O73632377","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=O73632377","Rs16 Crore","| Plot  Area:","502 sq.yards","O73632377:","10 Feb 2024","10 Apr 2024","Property score is medium","75%","Add USPs","0","6","345 Credits","https://www.99acres.com/lmsSearch?propId=O73632377","81.56 %","On 13-03-2024, this listing performed better than 81.56 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","Assign & share for SV","","","",""
"Shops for Lease in M3M Urbana, Sector 67 Gurgaon,Gurgaon","","https://www.99acres.com/Y73286373","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Y73286373","Rs2.3 Lac","| Built-up  Area:","1165 sq.ft.","Y73286373:","08 Feb 2024","20 Mar 2024","Property score is good","96%","Add photos","2","14","772 Credits","https://www.99acres.com/lmsSearch?propId=Y73286373","83.06 %","On 13-03-2024, this listing performed better than 83.06 % of the listings in its locality.","","","","","","","","",""
"Shops for Lease in Paras Trinity, Sector 63 Gurgaon,Gurgaon","","https://www.99acres.com/W73385591","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=W73385591","Rs1 Lac","| Carpet  Area:","490 sq.ft.","W73385591:","08 Feb 2024","27 Mar 2024","Property score is good","96%","Add photos","0","17","193 Credits","https://www.99acres.com/lmsSearch?propId=W73385591","44.83 %","On 13-03-2024, this listing performed better than 44.83 % of the listings in its locality.","","","","","","","","",""
"Shops for Lease in Eros City Square, Sector 49 Gurgaon,Gurgaon","","https://www.99acres.com/R73402635","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=R73402635","Rs1.7 Lac","| Built-up  Area:","1104 sq.ft.","R73402635:","08 Feb 2024","28 Mar 2024","Property score is good","100%","Add photos","1","14","193 Credits","https://www.99acres.com/lmsSearch?propId=R73402635","93.64 %","On 13-03-2024, this listing performed better than 93.64 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in M3M 65th Avenue, Sector 65 Gurgaon,Gurgaon","","https://www.99acres.com/G73402323","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=G73402323","Rs90,000","| Built-up  Area:","920 sq.ft.","G73402323:","08 Feb 2024","28 Mar 2024","Property score is good","96%","Add photos","0","7","193 Credits","https://www.99acres.com/lmsSearch?propId=G73402323","64.95 %","On 13-03-2024, this listing performed better than 64.95 % of the listings in its locality.","","","","","","View 2 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in Imperia Mindspace, Sector 62 Gurgaon,Gurgaon","","https://www.99acres.com/S73386083","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=S73386083","Rs68,000","| Built-up  Area:","486 sq.ft.","S73386083:","07 Feb 2024","27 Mar 2024","Property score is good","96%","Add photos","0","9","193 Credits","https://www.99acres.com/lmsSearch?propId=S73386083","62.86 %","On 13-03-2024, this listing performed better than 62.86 % of the listings in its locality.","","","","","","","","",""
"Shops for Lease in M3M Urbana, Sector 67 Gurgaon,Gurgaon","","https://www.99acres.com/K73286245","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=K73286245","Rs1.27 Lac","| Built-up  Area:","635 sq.ft.","K73286245:","07 Feb 2024","20 Mar 2024","Property score is good","96%","Add photos","2","13","386 Credits","https://www.99acres.com/lmsSearch?propId=K73286245","76.61 %","On 13-03-2024, this listing performed better than 76.61 % of the listings in its locality.","","","","","","View 3 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in M3M 65th Avenue, Sector 65 Gurgaon,Gurgaon","","https://www.99acres.com/H73402249","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=H73402249","Rs1.2 Lac","| Built-up  Area:","1291 sq.ft.","H73402249:","07 Feb 2024","28 Mar 2024","Property score is good","96%","Add photos","7","10","193 Credits","https://www.99acres.com/lmsSearch?propId=H73402249","64.43 %","On 13-03-2024, this listing performed better than 64.43 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in M3M 65th Avenue, Sector 65 Gurgaon,Gurgaon","","https://www.99acres.com/R73532915","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=R73532915","Rs3.06 Lac","| Built-up  Area:","1528 sq.ft.","R73532915:","07 Feb 2024","05 Apr 2024","Property score is good","100%","Add photos","2","10","193 Credits","https://www.99acres.com/lmsSearch?propId=R73532915","65.46 %","On 13-03-2024, this listing performed better than 65.46 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Lease in M3M 65th Avenue, Sector 65 Gurgaon,Gurgaon","","https://www.99acres.com/T73523155","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=T73523155","Rs50,000","| Built-up  Area:","565 sq.ft.","T73523155:","07 Feb 2024","04 Apr 2024","Property score is good","100%","Add photos","3","11","193 Credits","https://www.99acres.com/lmsSearch?propId=T73523155","67.53 %","On 13-03-2024, this listing performed better than 67.53 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
